FID,CH4,latitude,longitude,State
63269,1.949057,39.29434135,-102.3956877,Colorado
63275,1.95595622,39.29434645,-102.3042226,Colorado
63281,1.94861941,39.29435024,-102.3926914,Colorado
63287,1.95708286,39.29435226,-102.3053685,Colorado
63293,1.95673288,39.29435476,-102.3076634,Colorado
63299,1.96065533,39.29435942,-102.3091901,Colorado
63305,1.95216972,39.29436372,-102.7868664,Colorado
63311,1.9526279,39.29436889,-102.4700784,Colorado
63317,1.95201066,39.29437236,-102.6362665,Colorado
63323,1.94872115,39.29437609,-102.3878255,Colorado
63329,1.95170469,39.29437931,-102.3848311,Colorado
